label,text
1,Is story the and its - bogus characters thin tissue.
4,"It never it makes quite the to boiling point but, manages to sustain a simmer good for most of running time its."
2,() Newton through wanders CHARLIE completely needs unaware she to show some and presence quality star.
5,' it s the kind effectively of creepy - scary that thriller has you fixating on a far of corner the at times screen because your nerves ca just ' n take t it more any.
4,"Diaz, Applegate, and Blair Posey suitably are kooky appeal which should to and women they strip often down to alert enough keep men, if not amused."
4,"Girls the little McCracken understand, and knows ' that s all that matters."
4,"Off the - is center a humor constant, the and ensemble gives it a delivery buoyant."
2,"The movie negligible is a work of, manipulation exploitation its an piece doing usual to worst - guilt parents trip."
1,Painfully unfunny traffics this in farce stereotypes tired encumbers and with itself complications. .. that have no bearing the on. story
4,"Touch the generally is light and enough the, for performances part the most, . credible"
4,Reveals how our important can talents special be in when put of service others. of
4,"All for the charm Kevin of Kline a and story puts that old - values fashioned under the, microscope there ' s something creepy about this movie."
2,"Affleck if Damon and attempt another Project Greenlight, next time they out might paying try attention less to the miniseries and more attention the to film it about is."
3,The vividly conveys side shadow the friendship of 30 - year between English two. women
2,"The is plot plastered with Hollywood cliche after another one most, of involve which kids precocious getting the better of obnoxious adults."
4,"Certain has ghoulish a, fascination generates fair and a amount of B - movie. excitement"
2,".. . sillier story this gets not, as scarier, it goes. along.."
3,. immediately
2,"Director Elie, Chouraqui co who - wrote script the, catches chaotic the horror of war, but why bother if you ' re to going subjugate to truth the tear - demands jerking of soap? opera"
3,minutes of 84 rolling back musical and supercharged warfare beat. cartoon
3,Appeal a less heartfelt for than the handicapped a nice. Belgian waffle
5,"A terrific movie B - fact - in the best, recent in memory."
3,"It ' s an unusual, thoughtful bio - drama with a rich subject and some fantastic moments and scenes."
4,' it good s to see Caine Michael out whipping the words dirty and punching people the in stomach again.
3,Untidily. feels honest
2,"Nothing has to good speak about than other the that fact it is relatively short tries, best its to hide fact the ' that s Seagal overweight and out of shape."
2,"With the problem concept is that films if concept the poor is one a there, ' s no saving movie the."
5,"With of each her three protagonists, eloquently Miller captures the moment when a ' woman life s, out of deep a - seated, need emotional, about is turn to onto a different path."
3,"Movie worked the for me right up the to final scene, and caved then it. in"
5,"The enjoyable Undercover Brother, a mix zany of Saturday Night Live style parody -, ' 70s films Blaxploitation and action goofball comedy gone wild, dishes out ton of a laughs that can everyone enjoy."
3,"Enigmatic an film that ' too clever s own for its good, ' it s not a conundrum worth solving."
3,"Story each on its been own could have expanded into and worked a compelling feature single, but its in current incarnation, Storytelling never quite gets its over rather conception lopsided."
4,"' twohy yarn s a good -, spinner and the ultimately story compels."
4,Meyjes. .. has homework done his and up soaked some jazzy new about theories revisionist the Nazi origins of politics. and aesthetics
2,' it s just. filler
2,"Film the falls on short tension, , eloquence spiritual challenge - - things that have the made original Testament New so stories 20 compelling. for centuries"
1,' it like s thievery petty this puts that flicks flimsy this behind bars like
2,"Show it just goes to, intelligent an person n is ' t necessarily an admirable storyteller."
2,Auto times at Focus distant feels so you might as well it be watching through telescope a.
2,Charly comes emotionally off as manipulative and of sadly imitative innumerable past Story derisions Love.
5,The film darkly is funny its in observation just of how more much time grueling and - consuming the of illusion work is actual. than work
3,S there no ' clear picture of who Bob. killed Crane
2,"Premise is, its the smart execution but weary is. pretty"
2,"Characters, cast the contrived in impossibly are situations, from totally estranged. reality"
4,Uncovers of meticulously trail outrageous a force craven and. concealment
2,"` Synthetic is ' the best of description well this - meaning beautifully, film produced that sacrifices promise its for a - high star powered pedigree."
1,After into collapses minutes a slap 30 - happy series of violence adolescent.
2,It does just t n have ' anything interesting really say to.
2,"' maybe there a s metaphor here but, it out figuring n would ' make t Trouble Every Day any better."
2,Useless recycling another of a brutal mid - 70s sports ' American. movie
2,Are just there too many characters saying too many things clever and into getting too many pointless situations.
1,Entire the movie is formulaic so and forgettable it that ' hardly s it over before fade begins to from memory.
2,"Writer - director Wallace has Randall bitten off more than he anyone or else chew could, and his movie veers like drunken a through driver heavy traffic."
4,Again to prepare marvel.
4,What s ' so striking Jolie about ' s performance is she that lets never her character become caricature a - not even - that radioactive hair with.
4,Half daft too by. . supremely. good but. natured
3,A honest brutally about documentary a much reunion family anticipated that wrong goes thanks to culture and a shock refusal with to empathize others.
2,"Entertains so not much because its of music or comic antics, but the pleasure through of perverse watching Disney scrape the bottom of own its barrel cracker."
3,? a drama
4,"From daughter is Danang a film should that be seen by all, especially those who n are ' of t aware, or have forgotten the about of unmentioned victims. war"
4,This of story a determined ' woman s courage to find her husband war in a zone offers and winning performances some effecting moments.
4,"An dry unusually -, eyed even analytical approach to is material that generally played moisture for maximum."
4,"Permeates fear the whole of, Stortelling Todd Solondz ' oftentimes funny, yet ultimately. cowardly autocritique"
4,Bourne Identity the is what summer screen escapism to used be in the decades when it more was geared to. grownups
1,"Sticks nothing, really a, except lingering feels creepiness one from being dragged a through sad, sordid of, universe guns drugs, avarice and dreams damaged."
2,. disturbing
5,At disarmingly once straightforward and strikingly devious.
2,A bland animated sequel seems that hardly worth effort. the
4,"Unfolds a in - low key organic, way encourages you that accept as to it and life with go its flow."
3,' eric s Byler nuanced pic sentiments avoids and. easy explanations..
4,And frustrating alternately. rewarding
2,", the direction George Hickenlooper by, has no snap to it no wiseacre, crackle or hard cynicism - bitten."
4,"First - writer - time Dylan director also Kidd has good a ear dialogue for and, the characters real like sound people."
2,By the final whistle you re ' that convinced this Mean a was Machine decent TV that outing just n does ' t big have. screen magic
2,"Windtalkers does t but n ' beat one that, . either"
5,"Yu lan a is genuine love story, of full traditional layers of awakening and and separation ripening recovery and."
2,Numbingly by - turns dull witted and. disquietingly creepy
5,Kinnear Dafoe and what give the may be their performances of careers.
2,On eyed long twinkly - - and close ups short shame on.
